线程数,循环数,效率(笔/秒),吞吐量(Mbps),成功率,请求报文
64,10,21.30,0.00,98.28,12345678NC
64,1000,1475.20,0.01,99.96,3132333435363738543139393939303234307C32266C98B3C0EE4BC20E6ABDF5196F97CE209741B75A606B543EFF4879A8F3E4C23084330BE7E0EB2BAB14EA92547A4EA1AE7744DCDDB7C6BEA121D59852BD7C4C2E594AD476A91C94AEFC30390D23BB59AA2758632FC1D012FCDF8E1DADBFA0ECFAA37F7A685A70AD7AF59D4ECBC8D4D7CC02585FC514CB4F9F703DAB29253F8E2FF8D80760C0DEFF7518C85FE50D8F33C0B4DFBE8F35028FCA2D886B40F0BE3A89B43E2D269CF53FDFB54D63A3C47E7FE080A10BD899D9C8692570C6E22DC708CF3EB3FF66488477C158E7E0C4C281DE843F8FA97AAE6C6CE1CC1D84B79652813F626F358A5505516A84BB75E015303030366C696E31323330
64,1000,102564.10,23720169.46,0.00,3132333435363738543339393939
64,1000,710.89,0.04,100.00,3132333435363738543339393939303132384516EF135989C9363B8CC78B8243A5EE440922C623D0D6BA846BCBFA27775169AF56311C2CBA3D70B4F0AD84A0542FC88121CD58B6BEEE739AF407619681BFB01C26826230533F9CE8584E6AD76DC4D946AB7D1292D53A2AE890092087445F9D5BC7FEE2E5F4E56F5FAB3271CF804EA3E341C39661086B8CFAF0640C64D84358303036349B48078C9266DB8C789FDDE7D9581D4C2F4CCB6032B11483DB75CAAEF479BF14DE53DCDDC5FAC00E4EA7A646F8F39F22969E487CA02AACB3E5B7FA526EE5A907303030387369676E64617461
64,1000,708.55,0.04,100.00,3132333435363738543339393939303132384516EF135989C9363B8CC78B8243A5EE440922C623D0D6BA846BCBFA27775169AF56311C2CBA3D70B4F0AD84A0542FC88121CD58B6BEEE739AF407619681BFB01C26826230533F9CE8584E6AD76DC4D946AB7D1292D53A2AE890092087445F9D5BC7FEE2E5F4E56F5FAB3271CF804EA3E341C39661086B8CFAF0640C64D84358303036349B48078C9266DB8C789FDDE7D9581D4C2F4CCB6032B11483DB75CAAEF479BF14DE53DCDDC5FAC00E4EA7A646F8F39F22969E487CA02AACB3E5B7FA526EE5A907303030387369676E64617461
64,64,676.80,0.05,100.00,31323334353637385436393939393030363490A7944349917F7B7939EDA254A0D3762D227B0D6267D8621EC4AD5621C84EE67B1A10ADE8A55AC40A25CE5137C83C14A6388FE274B06CB52FD34E74C735851231303030366C696E31323330303131656E637279707464617461
64,1000,680.47,0.05,100.00,31323334353637385436393939393030363490A7944349917F7B7939EDA254A0D3762D227B0D6267D8621EC4AD5621C84EE67B1A10ADE8A55AC40A25CE5137C83C14A6388FE274B06CB52FD34E74C735851231303030366C696E31323330303131656E637279707464617461
64,100,1470.59,0.11,100.00,3132333435363738543731303132386533B362CF182D773BD705D84E167851539411495F8CEAAE5BEA14020B5556311B4F2B89EE1D9F1B4CFF3FC6E0F22E7C13D7B1A4D1EC40759AE4763C1200D05FD738985C2330111AF8C4733EDB4BD274E186F8BDA7C556C9F4FEA6E117859D1EC57A64BFC77EC0365A98FA1718CBF846360E1D239C3DA770EAB10C05865F044B303030366C696E313233303131320FA13C2204B766E50EDE35CBB42632C66FE20683E1038A3499D9FB9BB74E87DF36E32C035BF7FED7A8DB897D2EB1AD2249303BC22F53BD702E3A5147E93EC1D1F93AA467706937F9D976DDF0D04FC84EBB871390A3ED851289F2AAF928D0091A7262C6D45AA4C0F4BCCF9166AE63C393
64,1000,1478.95,0.11,100.00,3132333435363738543731303132386533B362CF182D773BD705D84E167851539411495F8CEAAE5BEA14020B5556311B4F2B89EE1D9F1B4CFF3FC6E0F22E7C13D7B1A4D1EC40759AE4763C1200D05FD738985C2330111AF8C4733EDB4BD274E186F8BDA7C556C9F4FEA6E117859D1EC57A64BFC77EC0365A98FA1718CBF846360E1D239C3DA770EAB10C05865F044B303030366C696E313233303131320FA13C2204B766E50EDE35CBB42632C66FE20683E1038A3499D9FB9BB74E87DF36E32C035BF7FED7A8DB897D2EB1AD2249303BC22F53BD702E3A5147E93EC1D1F93AA467706937F9D976DDF0D04FC84EBB871390A3ED851289F2AAF928D0091A7262C6D45AA4C0F4BCCF9166AE63C393
64,1000,2283.02,0.17,100.00,3132333435363738543139393939303234307C32266C98B3C0EE4BC20E6ABDF5196F97CE209741B75A606B543EFF4879A8F3E4C23084330BE7E0EB2BAB14EA92547A4EA1AE7744DCDDB7C6BEA121D59852BD7C4C2E594AD476A91C94AEFC30390D23BB59AA2758632FC1D012FCDF8E1DADBFA0ECFAA37F7A685A70AD7AF59D4ECBC8D4D7CC02585FC514CB4F9F703DAB29253F8E2FF8D80760C0DEFF7518C85FE50D8F33C0B4DFBE8F35028FCA2D886B40F0BE3A89B43E2D269CF53FDFB54D63A3C47E7FE080A10BD899D9C8692570C6E22DC708CF3EB3FF66488477C158E7E0C4C281DE843F8FA97AAE6C6CE1CC1D84B79652813F626F358A5505516A84BB75E015303030366C696E31323330
64,1000,814.96,0.06,100.00,3132333435363738543339393939303132384516EF135989C9363B8CC78B8243A5EE440922C623D0D6BA846BCBFA27775169AF56311C2CBA3D70B4F0AD84A0542FC88121CD58B6BEEE739AF407619681BFB01C26826230533F9CE8584E6AD76DC4D946AB7D1292D53A2AE890092087445F9D5BC7FEE2E5F4E56F5FAB3271CF804EA3E341C39661086B8CFAF0640C64D84358303036349B48078C9266DB8C789FDDE7D9581D4C2F4CCB6032B11483DB75CAAEF479BF14DE53DCDDC5FAC00E4EA7A646F8F39F22969E487CA02AACB3E5B7FA526EE5A907303030387369676E64617461
